,,Bound Box Size,,,Position,,,Orentaion,,,Hole Size
,,B,W,H,X,Y,Z,alpha,beta,gamma,pi
chair part1,,435.33,410,10,,,,,,,
chair part2,,340,50,20,,,,,,,
,hole 1,,,,10,-14.5,112,0,0,0,6
,hole 2,,,,10,-14.5,-112,0,0,0,6
,hole 3,,,,0,16,170,0,90,0,8
,hole 4,,,,0,0,170,0,90,0,5
,hole 5,,,,0,-16,170,0,90,0,8
,hole 6,,,,0,16,-170,0,-90,0,8
,hole 7,,,,0,0,-170,0,-90,0,5
,hole 8,,,,0,-16,-170,0,-90,0,8
chair part3,,270,50,20,,,,,,,
,hole 1,,,,10,-14.5,80,0,0,0,6
,hole 2,,,,10,-14.5,-80,0,0,0,6
,hole 3,,,,0,16,170,0,90,0,7
,hole 4,,,,0,0,170,0,90,0,5
,hole 5,,,,0,-16,170,0,90,0,7
,hole 6,,,,0,16,-170,0,-90,0,7
,hole 7,,,,0,0,-170,0,-90,0,5
,hole 8,,,,0,-16,-170,0,-90,0,7
chair part4,,270,335,23,,,,,,,
,hole 1,,,,6.5,158.5,135,0,90,0,8
,hole 2,,,,6.5,142.5,135,0,90,0,5
,hole 3,,,,6.5,126.5,135,0,90,0,8
,hole 4,,,,1.5,152.5,135,0,90,0,8
,hole 5,,,,6.5,158.5,-135,0,-90,0,8
,hole 6,,,,6.5,142.5,-135,0,-90,0,5
,hole 7,,,,6.5,126.5,-135,0,-90,0,8
,hole 8,,,,1.5,-152.5,-135,0,-90,0,8
chair part5_L,,464.67,900.57,65,,,,,,,
,hole 1,,,,32.5,425.78,214.2404277,0,0,0,8
,hole 2,,,,32.5,409.93,212.01,0,0,0,5.5
,hole 3,,,,32.5,394.09,209.79,0,0,0,8
,hole 4,,,,32.5,117.11,175.91,0,0,0,8
,hole 5,,,,-2.5,-23.62,-215.17,0,0,0,8
,hole 6,,,,-2.5,-39.6,-216.01,0,0,0,5.5
,hole 7,,,,-2.5,-55.58,-216.84,0,0,0,8
,hole 8,,,,32.5,-42.85,151.71,0,0,0,8
,hole 9,,,,32.5,-58.83,150.87,0,0,0,5.5
,hole 10,,,,32.5,-74.81,150.03,0,0,0,8
chair part5_R,,464.67,900.57,65,,,,,,,
,hole 1,,,,32.5,425.78,-214.2404277,0,0,0,8
,hole 2,,,,32.5,409.93,-212.01,0,0,0,5.5
,hole 3,,,,32.5,394.09,-209.79,0,0,0,8
,hole 4,,,,32.5,117.11,-175.91,0,0,0,8
,hole 5,,,,-2.5,-23.62,215.17,0,0,0,8
,hole 6,,,,-2.5,-39.6,216.01,0,0,0,5.5
,hole 7,,,,-2.5,-55.58,216.84,0,0,0,8
,hole 8,,,,32.5,-42.85,-151.71,0,0,0,8
,hole 9,,,,32.5,-58.83,-150.87,0,0,0,5.5
,hole 10,,,,32.5,-74.81,-150.03,0,0,0,8
